Date,Ticker,Open,High,Low,Close,Volume,sentiment,return,ma_5,ma_10,volatility_5,sentiment_lag1,sentiment_ma3,target,pred,strategy_return,buy_hold_return
2026-02-19,GOOGL,301.42763905495286,305.0728879320441,299.64995428739604,302.456298828125,25834400,0.0,-0.0015824155632001569,304.188037109375,312.681982421875,0.006749477933988773,0.0,0.0,1,1,0.04005281867780153,0.04005281867780153
2026-02-20,GOOGL,303.9243808328656,316.08853909864735,303.504913437054,314.5705261230469,53210800,0.0,0.04005281867780153,305.3824829101562,311.0570983886719,0.021236593722532636,0.0,0.0,0,1,-0.011080102372493461,-0.011080102372493461
2026-02-23,GOOGL,318.6352220336332,319.1046122516075,309.4671633706354,311.0850524902344,31423000,0.0,-0.011080102372493461,306.53497924804685,309.92157592773435,0.021317602306241426,0.0,0.0,0,0,0.0,-0.0018940250460213193
2026-02-24,GOOGL,310.11633870149166,311.8640638461802,305.5323089793432,310.495849609375,25615600,0.0,-0.0018940250460213193,308.3086791992188,308.58132019042966,0.019836149331999477,0.0,0.0,1,0,0.0,0.006432857285513016
2026-02-25,GOOGL,311.6543207518016,313.2322838254539,309.0377316182752,312.49322509765625,29963600,0.0,0.006432857285513016,310.2201904296875,308.01405944824216,0.01981524708889496,0.0,0.0,0,0,0.0,-0.01764130042663037
2026-02-26,GOOGL,312.23361045347764,312.73296049797625,301.95697800388234,306.9804382324219,36431200,0.0,-0.01764130042663037,311.12501831054686,307.6565277099609,0.022543338606053304,0.0,0.0,1,0,0.0,0.01424943596044792
2026-02-27,GOOGL,303.7446468483449,311.9639287272481,303.4050620118916,311.354736328125,44640600,0.0,0.01424943596044792,310.4818603515625,307.9321716308594,0.012867265887282571,0.0,0.0,0,0,0.0,-0.016807887343381234
2026-03-02,GOOGL,302.83581985466094,308.0889612664211,300.908305641281,306.1215209960937,34790200,0.0,-0.016807887343381234,309.48915405273436,308.01206665039064,0.014077314074922213,0.0,0.0,0,0,0.0,-0.009591575706884181
2026-03-03,GOOGL,298.2018299939976,303.5448811012492,296.3242691134317,303.1853332519531,35497000,0.0,-0.009591575706884181,308.02705078125,308.16786499023436,0.014326752370758226,0.0,0.0,0,0,0.0,-0.0014821671387289514
2026-03-04,GOOGL,302.49628364637806,305.07291645770977,300.3590508331652,302.7359619140625,29536200,0.0,-0.0014821671387289514,306.0755981445312,308.14789428710935,0.013184800275884681,0.0,0.0,0,0,0.0,-0.007422642542599611
2026-03-05,GOOGL,302.6460567428228,302.9056980180265,297.6026034525966,300.4888610839844,35752300,0.0,-0.007422642542599611,304.77728271484375,307.95115051269534,0.011685258214198881,0.0,0.0,0,0,0.0,-0.007843663772585718
2026-03-06,GOOGL,295.7050936872067,300.1393243405422,294.7962729857715,298.1319274902344,25576900,0.0,-0.007843663772585718,302.1327209472656,306.3072906494141,0.00549931858721272,0.0,0.0,1,1,0.026985254760708344,0.026985254760708344
2026-03-09,GOOGL,294.1842573074437,306.6168332730834,293.9044256827884,306.1770935058594,29312100,0.0,0.026985254760708344,302.1438354492187,305.8164947509766,0.015321019418658995,0.0,0.0,1,1,0.0022197168869222406,0.0022197168869222406
2026-03-10,GOOGL,305.98724420005084,309.3252467158022,305.3875962722132,306.8567199707031,23239700,0.0,0.0022197168869222406,302.87811279296875,305.45258178710935,0.014325796236406204,0.0,0.0,1,0,0.0,0.005406520345286214
2026-03-11,GOOGL,306.56689883882945,311.2341247037885,305.7374076911934,308.5157470703125,24125700,0.0,0.005406520345286214,304.03406982421876,305.054833984375,0.01417861965878393,0.0,0.0,0,0,0.0,-0.016683014417014475
2026-03-12,GOOGL,306.636841807898,308.7555713296518,300.8502897843219,303.3687744140625,24928300,0.0,-0.016683014417014475,304.61005249023435,304.69366760253905,0.01644587271421456,0.0,0.0,0,0,0.0,-0.004183772956429799
2026-03-13,GOOGL,306.8267356773544,307.50632242162294,300.26065041451466,302.0995483398437,23693100,0.0,-0.004183772956429799,305.4035766601562,303.7681488037109,0.015971890346608716,0.0,0.0,1,1,0.010850879030806615,0.010850879030806615
2026-03-16,GOOGL,304.16832484157635,306.3070315122431,302.8391017033621,305.3775939941406,23519700,0.0,0.010850879030806615,305.2436767578125,303.6937561035156,0.010566267098996494,0.0,0.0,1,0,0.0,0.01754159974009184
2026-03-17,GOOGL,305.6773980936512,311.2341070358109,305.3176276402165,310.7344055175781,21955200,0.0,0.01754159974009184,306.0192138671875,304.44866333007815,0.01338897181922715,0.0,0.0,0,0,0.0,-0.010388577259506704
2026-03-18,GOOGL,309.0853604878573,312.2834623461404,306.74676108497374,307.5063171386719,20009800,0.0,-0.010388577259506704,305.81732788085935,304.9256988525391,0.014383667280608303,0.0,0.0,0,0,0.0,-0.0018200011968599883
2026-03-19,GOOGL,303.8285227221892,307.8760927647981,302.16951004441273,306.9466552734375,25075800,0.0,-0.0018200011968599883,306.53290405273435,305.57147827148435,0.011460667343624902,0.0,0.0,0,0,0.0,-0.01995898201913937
